src,key1,key2,sortorder,firstbook,firstchapter,firstverse
"Hebrew","<NNJH/","NA","pnnje","Nehemia","3","23"
"Hebrew","<NNJH=/","NA","pnnje","Nehemia","11","32"
"Hebrew","<NN[","piel","pnn","Genesis","9","14"
"Hebrew","<NP/","NA","pnq","Leviticus","23","40"
"Hebrew","<NP=/","NA","pnq","Ezechiel","19","10"
"Hebrew","<NQ/","NA","pns","Numeri","13","22"
"Hebrew","<NQ=/","NA","pns","Judices","8","26"
"Hebrew","<NQ[","qal","pns","Psalmi","73","6"
"Hebrew","<NR/","NA","pnt","Genesis","14","13"
"Hebrew","<NR=/","NA","pnt","Chronica_I","6","55"
"Hebrew","<NT/","NA","pnv","Judices","3","31"
"Hebrew","<NTTJ/","NA","pnvvj","Samuel_II","23","27"
"Hebrew","<NTTJH/","NA","pnvvje","Chronica_I","8","24"
"Hebrew","<NTWT/","NA","pnvfv","Josua","21","18"
"Hebrew","<NTWT=/","NA","pnvfv","Nehemia","10","20"
"Hebrew","<NW/","NA","pnf","Numeri","12","3"
"Hebrew","<NWB/","NA","pnfb","Chronica_I","4","8"
"Hebrew","<NWCJM/","NA","pnfujm","Amos","2","8"
"Hebrew","<NWH/","NA","pnfe","Psalmi","45","5"
"Hebrew","<NWH=/","NA","pnfe","Zephania","2","3"
"Hebrew","<NWQ/","NA","pnfs","Josua","21","11"
"Hebrew","<NWT/","NA","pnfv","Psalmi","22","25"
"Hebrew","<P<PJM/","NA","pqpqjm","Jeremia","9","17"
"Hebrew","<PJ/","NA","pqj","Psalmi","104","12"
"Hebrew","<PL/","NA","pql","Reges_II","5","24"
"Hebrew","<PL[","pual","pql","Habakuk","2","4"
"Hebrew","<PNJ/","NA","pqnj","Josua","18","24"
"Hebrew","<PP[","piel","pqq","Ezechiel","32","10"
"Hebrew","<PR/","NA","pqt","Genesis","2","7"
"Hebrew","<PR=/","NA","pqt","Canticum","2","9"
"Hebrew","<PR==/","NA","pqt","Genesis","25","4"
"Hebrew","<PRH/","NA","pqte","Josua","18","23"
"Hebrew","<PRH=/","NA","pqte","Micha","1","10"
"Hebrew","<PRH==/","NA","pqte","Chronica_I","4","14"
"Hebrew","<PRJN/","NA","pqtjn","Chronica_II","13","19"
"Hebrew","<PRWN/","NA","pqtfn","Genesis","23","8"
